total cost: 22105.7000000009
1118 93261 0.27
1119 79285 0.05
1120 9873 0.12
1121 81228 0.42
1122 54098 0.51
1123 19173 0.05
1124 43302 0
1125 9917 0.39
1126 94201 0.21
1127 69659 0.24
1128 97417 0.3
1129 61822 0
1130 62977 0.19
1131 37825 0.2
1132 26437 0.64
1133 62905 0
1134 17263 0.21
1135 46590 0.24
1136 52328 0.2
1137 54166 0.42
1138 15316 0.25
1139 24023 0.16
1140 54878 0.53
1141 93763 0.31
1142 18348 0.15
1143 77701 0.4
1144 86089 0.3
1145 86156 0.24
1146 61007 0.32
1147 24193 0.14
1148 18174 0.15
1149 9670 0.17
1150 66214 0.09
1151 511 0.01
1152 94142 0.14
1153 2344 0.18
1154 69228 0.2
1155 81810 0.17
1156 68889 0.36
1157 8653 0.14
1158 40811 0.11
1159 46751 0.22
1160 92259 0.28
1161 71941 0.12
1162 86758 0.2
1163 53170 0.16
1164 57070 0.19
1165 55508 0.02
1166 78679 0.05
1167 58695 0.06
1168 69528 0.26
1169 97725 0.09
1170 91328 0.26
1171 63588 0.32
1172 40111 0.04
1173 48144 0.11
1174 52990 0.21
1175 22523 0.63
1176 51220 0.01
1177 84734 0.27
1178 30643 0.55
1179 43571 0.03
1180 78521 0.23
1181 73849 0.07
1182 29358 0.14
1183 5935 0.48
1184 39889 0.04
1185 71174 0.01
1186 16711 0.08
1187 93994 0.27
1188 43115 1.09
1189 9947 0.05
1190 14281 0.21
1191 41264 0.36
1192 78380 0.37
1193 40994 0.32
1194 77126 0.07
1195 38338 0.09
1196 67817 0.05
1197 50337 0.05
1198 4768 0.09
1199 8130 0.19
1200 83752 0.02
1201 45236 0.06
1202 26492 0.06
1203 9652 0.19
1204 21222 0.19
1205 71317 0.33
1206 71777 0.18
1207 51825 0.8
1208 65083 0.15
1209 70974 0.22
1210 17255 0.07
1211 28308 0.09
1212 48556 0.21
1213 83865 0.19
1214 25904 0.3
1215 71632 0.29
1216 48409 0.77
1217 5470 0.71
1218 12487 0.24
1219 24464 0.13
1220 64306 0.12
1221 70773 0.09
1222 21189 0.05
